topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
T53_N4,paper,Confounders in Instance Variation for the Analysis of Data Contamination,https://doi.org/10.18653/v1/2024.conda-1.2,10.18653/v1/2024.conda-1.2,2024,Proceedings of the 1st Workshop on Data Contamination (CONDA),empirical,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Confounders in Instance Variation for the Analysis of Data Contamination' contributes a 'empirical' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Analysis of Semantic Benchmark Data Contamination Attack for LLM-Driven Fake News Detection,https://doi.org/10.1109/BigData66926.2025.11402039,10.1109/BigData66926.2025.11402039,2025,BigData Congress [Services Society],benchmark,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Analysis of Semantic Benchmark Data Contamination Attack for LLM-Driven Fake News Detection' contributes a 'benchmark' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Proceedings of the 1st Workshop on Data Contamination (CONDA),https://doi.org/10.18653/v1/2024.conda-1,10.18653/v1/2024.conda-1,2024,,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Proceedings of the 1st Workshop on Data Contamination (CONDA)' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Data Contamination in AI Evaluation (Preprint),https://doi.org/10.2196/preprints.80987,10.2196/preprints.80987,2025,,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Data Contamination in AI Evaluation (Preprint)' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Density Deconvolution with Limited Data Contamination,https://doi.org/10.2139/ssrn.4916179,10.2139/ssrn.4916179,2024,SSRN Electronic Journal,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Density Deconvolution with Limited Data Contamination' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Data Contamination in AI Evaluation,https://doi.org/10.2196/80987,10.2196/80987,2025,JMIR Medical Informatics,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Data Contamination in AI Evaluation' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Data Contamination in LLMs: A Scoping Literature Review,https://doi.org/10.37766/inplasy2025.11.0050,10.37766/inplasy2025.11.0050,2025,,survey,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Data Contamination in LLMs: A Scoping Literature Review' contributes a 'survey' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Fully Unsupervised Anomaly Detection in Industrial Images with Unknown Data Contamination,https://doi.org/10.1109/sds66131.2025.00013,10.1109/sds66131.2025.00013,2025,2025 IEEE Swiss Conference on Data Science (SDS),paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Fully Unsupervised Anomaly Detection in Industrial Images with Unknown Data Contamination' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,"Benchmark Leakage, Plasticity Loss, and Regime Transitions in Large Language Models",https://doi.org/10.2139/ssrn.6084208,10.2139/ssrn.6084208,2026,,benchmark,ADJACENT,0.25,,"Relevance 0.25: paper titled 'Benchmark Leakage, Plasticity Loss, and Regime Transitions in Large Language Models' contributes a 'benchmark' matching target artifact 'empirical+database'. Matched keywords: kw:title:benchmark leakage.",Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T53_N4,github,SeekingDream/Static-to-Dynamic-LLMEval,https://github.com/SeekingDream/Static-to-Dynamic-LLMEval,,,GitHub,benchmark,DIRECT_OVERLAP,,503,"GitHub repo 'SeekingDream/Static-to-Dynamic-LLMEval' (503 stars) provides an implementation of 'data contamination'. Description: the official github repository of the paper ""recent advances in large language model benchmarks against data contaminati.",Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
